date,province,region,variable,value,model
2019-01-01,Chiang Mai,north,no_tourist_foreign,331956.0,
2019-01-01,Phichit,north,no_tourist_foreign,582.0,
2019-01-01,Nakhon Sawan,north,no_tourist_foreign,6339.0,
2019-01-01,Tak,north,no_tourist_foreign,5646.0,
2019-01-01,Phitsanulok,north,no_tourist_foreign,22744.0,
2019-01-01,Phayao,north,no_tourist_foreign,3468.0,
2019-01-01,Phetchabun,north,no_tourist_foreign,2159.0,
2019-01-01,Phrae,north,no_tourist_foreign,9039.0,
2019-01-01,Lampang,north,no_tourist_foreign,10762.0,
2019-01-01,Lamphun,north,no_tourist_foreign,6577.0,
2019-01-01,Mae Hong Son,north,no_tourist_foreign,33424.0,
2019-01-01,Uttaradit,north,no_tourist_foreign,979.0,
2019-01-01,Uthai Thani,north,no_tourist_foreign,291.0,
2019-01-01,Sukhothai,north,no_tourist_foreign,43029.0,
2019-01-01,Nan,north,no_tourist_foreign,2204.0,
2019-01-01,Kalasin,east_northeast,no_tourist_foreign,522.0,
2019-01-01,Khon Kaen,east_northeast,no_tourist_foreign,7972.0,
2019-01-01,Chaiyaphum,east_northeast,no_tourist_foreign,718.0,
2019-01-01,Nakhon Phanom,east_northeast,no_tourist_foreign,7434.0,
2019-01-01,Nakhon Ratchasima,east_northeast,no_tourist_foreign,20376.0,
2019-01-01,Buri Ram,east_northeast,no_tourist_foreign,5487.0,
2019-01-01,Maha Sarakham,east_northeast,no_tourist_foreign,1848.0,
2019-01-01,Mukdahan,east_northeast,no_tourist_foreign,14565.0,
2019-01-01,Roi Et,east_northeast,no_tourist_foreign,833.0,
2019-01-01,Loei,east_northeast,no_tourist_foreign,2774.0,
2019-01-01,Si Sa Ket,south,no_tourist_foreign,2429.0,
2019-01-01,Surin,east_northeast,no_tourist_foreign,3605.0,
2019-01-01,Nong Khai,east_northeast,no_tourist_foreign,71173.0,
2019-01-01,Bueng Kan,east_northeast,no_tourist_foreign,278.0,
2019-01-01,Udon Thani,east_northeast,no_tourist_foreign,17081.0,
2019-01-01,Ubon Ratchathani,east_northeast,no_tourist_foreign,18674.0,
